Iteración 109: Mejor evaluación: 880, Peor evaluación: 500, Promedio evaluación: 770.4449814569347, Diversidad Hamming: 1.9827450980392156, Diversidad Euclidiana: 1.2995407730329205
Iteración 110: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 777.5754319049379, Diversidad Hamming: 1.904313725490196, Diversidad Euclidiana: 1.2831179323211996
Iteración 111: Mejor evaluación: 880, Peor evaluación: 420, Promedio evaluación: 767.4151669328611, Diversidad Hamming: 2.1898039215686276, Diversidad Euclidiana: 1.3700188332078018
Iteración 112: Mejor evaluación: 880, Peor evaluación: 510, Promedio evaluación: 762.3350344468226, Diversidad Hamming: 2.268235294117647, Diversidad Euclidiana: 1.4088773814588642
Iteración 113: Mejor evaluación: 880, Peor evaluación: 530, Promedio evaluación: 775.4812427136073, Diversidad Hamming: 1.9074509803921569, Diversidad Euclidiana: 1.2810060540681811
Iteración 114: Mejor evaluación: 880, Peor evaluación: 360, Promedio evaluación: 774.2112095920978, Diversidad Hamming: 2.191372549019608, Diversidad Euclidiana: 1.3624176287550176
Iteración 115: Mejor evaluación: 880, Peor evaluación: 420, Promedio evaluación: 755.9291342078136, Diversidad Hamming: 2.2509803921568627, Diversidad Euclidiana: 1.406539920734727
Iteración 116: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 771.6900572999853, Diversidad Hamming: 2.0580392156862746, Diversidad Euclidiana: 1.326692596657153
Iteración 117: Mejor evaluación: 880, Peor evaluación: 510, Promedio evaluación: 768.7862051205809, Diversidad Hamming: 2.24, Diversidad Euclidiana: 1.4070895410752886
Iteración 118: Mejor evaluación: 880, Peor evaluación: 470, Promedio evaluación: 767.82447510931, Diversidad Hamming: 2.149019607843137, Diversidad Euclidiana: 1.3595071927101083
Iteración 119: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 780.6769434370079, Diversidad Hamming: 1.84, Diversidad Euclidiana: 1.2503718310682
Iteración 120: Mejor evaluación: 880, Peor evaluación: 530, Promedio evaluación: 776.5149423067393, Diversidad Hamming: 2.023529411764706, Diversidad Euclidiana: 1.3163713054398887
Iteración 121: Mejor evaluación: 880, Peor evaluación: 450, Promedio evaluación: 777.7672750749382, Diversidad Hamming: 2.095686274509804, Diversidad Euclidiana: 1.3525593368257143
Iteración 122: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 776.5306963609985, Diversidad Hamming: 2.062745098039216, Diversidad Euclidiana: 1.3336754620895994
Iteración 123: Mejor evaluación: 880, Peor evaluación: 460, Promedio evaluación: 781.9908383765777, Diversidad Hamming: 1.9247058823529413, Diversidad Euclidiana: 1.2832022611488505
Iteración 124: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 781.5836544824065, Diversidad Hamming: 2.1584313725490194, Diversidad Euclidiana: 1.3822347723325055
Iteración 125: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 782.3604546921836, Diversidad Hamming: 2.1411764705882352, Diversidad Euclidiana: 1.3584331645011698
Iteración 126: Mejor evaluación: 880, Peor evaluación: 470, Promedio evaluación: 776.3763057774643, Diversidad Hamming: 2.299607843137255, Diversidad Euclidiana: 1.4372638239709394
Iteración 127: Mejor evaluación: 880, Peor evaluación: 380, Promedio evaluación: 769.9528587710851, Diversidad Hamming: 2.2337254901960786, Diversidad Euclidiana: 1.3949522721326795
Iteración 128: Mejor evaluación: 880, Peor evaluación: 370, Promedio evaluación: 765.5646646796602, Diversidad Hamming: 2.1976470588235295, Diversidad Euclidiana: 1.3825352993865443
Iteración 129: Mejor evaluación: 880, Peor evaluación: 420, Promedio evaluación: 759.3509597908105, Diversidad Hamming: 2.5286274509803923, Diversidad Euclidiana: 1.5142946434589837
Iteración 130: Mejor evaluación: 880, Peor evaluación: 480, Promedio evaluación: 759.2833230326602, Diversidad Hamming: 2.3262745098039215, Diversidad Euclidiana: 1.4527071366006559
Iteración 131: Mejor evaluación: 880, Peor evaluación: 410, Promedio evaluación: 749.9357791633889, Diversidad Hamming: 2.453333333333333, Diversidad Euclidiana: 1.4947531701964263
Iteración 132: Mejor evaluación: 880, Peor evaluación: 400, Promedio evaluación: 745.7522033071847, Diversidad Hamming: 2.5662745098039217, Diversidad Euclidiana: 1.5181294062276092
Iteración 133: Mejor evaluación: 880, Peor evaluación: 580, Promedio evaluación: 774.4447291045727, Diversidad Hamming: 1.7976470588235294, Diversidad Euclidiana: 1.2360678871471074
Iteración 134: Mejor evaluación: 880, Peor evaluación: 550, Promedio evaluación: 777.3204037679727, Diversidad Hamming: 2.175686274509804, Diversidad Euclidiana: 1.3870568886432715
Iteración 135: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 782.5817705114373, Diversidad Hamming: 2.0941176470588236, Diversidad Euclidiana: 1.3449967349394405
Iteración 136: Mejor evaluación: 880, Peor evaluación: 450, Promedio evaluación: 771.8791205498362, Diversidad Hamming: 2.3262745098039215, Diversidad Euclidiana: 1.4388755228192303
Iteración 137: Mejor evaluación: 880, Peor evaluación: 520, Promedio evaluación: 779.0768151768789, Diversidad Hamming: 2.0062745098039216, Diversidad Euclidiana: 1.330315866047631
Iteración 138: Mejor evaluación: 880, Peor evaluación: 550, Promedio evaluación: 779.0482115100081, Diversidad Hamming: 2.2305882352941175, Diversidad Euclidiana: 1.4125309464934532
Iteración 139: Mejor evaluación: 880, Peor evaluación: 330, Promedio evaluación: 771.9750861471609, Diversidad Hamming: 2.4219607843137254, Diversidad Euclidiana: 1.4526274712274607
Iteración 140: Mejor evaluación: 880, Peor evaluación: 440, Promedio evaluación: 786.9679352304432, Diversidad Hamming: 1.6925490196078432, Diversidad Euclidiana: 1.1746195895187694
Iteración 141: Mejor evaluación: 880, Peor evaluación: 410, Promedio evaluación: 773.6800460465942, Diversidad Hamming: 2.156862745098039, Diversidad Euclidiana: 1.3768400467966928
Iteración 142: Mejor evaluación: 880, Peor evaluación: 390, Promedio evaluación: 780.1733563566304, Diversidad Hamming: 2.0407843137254904, Diversidad Euclidiana: 1.3520413142359269
